id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,status_kelahiran,jenis_kelamin,jumlah_kelahiran,satuan,tahun
38,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,PEREMPUAN,17,JIWA,2012
39,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,57271,JIWA,2013
40,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,59044,JIWA,2013
41,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,47,JIWA,2013
42,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,24,JIWA,2013
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,LAKI-LAKI,24813,JIWA,2013
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,PEREMPUAN,25098,JIWA,2013
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,LAKI-LAKI,54,JIWA,2013
46,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,PEREMPUAN,46,JIWA,2013
47,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,LAKI-LAKI,11296,JIWA,2013
48,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,PEREMPUAN,10447,JIWA,2013
49,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,LAKI-LAKI,86,JIWA,2013
50,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,PEREMPUAN,79,JIWA,2013
51,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10819,JIWA,2013
52,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10449,JIWA,2013
53,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,14,JIWA,2013
54,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,22,JIWA,2013
55,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,LAKI-LAKI,17121,JIWA,2013
56,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,PEREMPUAN,16933,JIWA,2013
57,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,LAKI-LAKI,76,JIWA,2013
58,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,PEREMPUAN,70,JIWA,2013
59,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,LAKI-LAKI,3344,JIWA,2013
60,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,PEREMPUAN,3342,JIWA,2013
61,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,LAKI-LAKI,28,JIWA,2013
62,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,PEREMPUAN,27,JIWA,2013
63,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9574,JIWA,2013
64,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9004,JIWA,2013
65,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,LAKI-LAKI,3692,JIWA,2013
66,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,PEREMPUAN,3595,JIWA,2013
67,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,LAKI-LAKI,9,JIWA,2013
68,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,PEREMPUAN,8,JIWA,2013
69,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2855,JIWA,2013
70,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2561,JIWA,2013
71,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,14,JIWA,2013
72,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,10,JIWA,2013
73,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,20712,JIWA,2013
74,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,21949,JIWA,2013
75,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,26,JIWA,2013
76,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,25,JIWA,2013
77,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,LAKI-LAKI,5116,JIWA,2013
78,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,PEREMPUAN,5535,JIWA,2013
79,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,LAKI-LAKI,19,JIWA,2013
80,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,PEREMPUAN,19,JIWA,2013
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6971,JIWA,2013
82,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6602,JIWA,2013
83,32,JAWA BARAT,3279,KOTA BANJAR,HIDUP,LAKI-LAKI,1801,JIWA,2013
84,32,JAWA BARAT,3279,KOTA BANJAR,HIDUP,PEREMPUAN,1534,JIWA,2013
85,32,JAWA BARAT,3279,KOTA BANJAR,MATI,LAKI-LAKI,13,JIWA,2013
86,32,JAWA BARAT,3279,KOTA BANJAR,MATI,PEREMPUAN,10,JIWA,2013
87,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,59586,JIWA,2014
88,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,60786,JIWA,2014
89,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,108,JIWA,2014
90,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,72,JIWA,2014
91,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,16900,JIWA,2014
92,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,16035,JIWA,2014
93,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,156,JIWA,2014
94,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,103,JIWA,2014
95,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10740,JIWA,2014
96,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,10277,JIWA,2014
97,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,68,JIWA,2014
98,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,26,JIWA,2014
99,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10668,JIWA,2014
100,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10207,JIWA,2014
101,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,9,JIWA,2014
102,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,5,JIWA,2014
103,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,LAKI-LAKI,12680,JIWA,2014
104,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,PEREMPUAN,10374,JIWA,2014
105,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,LAKI-LAKI,73,JIWA,2014
106,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,PEREMPUAN,61,JIWA,2014
107,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,LAKI-LAKI,14905,JIWA,2014
108,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,PEREMPUAN,13995,JIWA,2014
109,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,LAKI-LAKI,85,JIWA,2014
110,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,PEREMPUAN,35,JIWA,2014
111,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9743,JIWA,2014
112,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9986,JIWA,2014
113,32,JAWA BARAT,3271,KOTA BOGOR,MATI,LAKI-LAKI,11,JIWA,2014
114,32,JAWA BARAT,3271,KOTA BOGOR,MATI,PEREMPUAN,10,JIWA,2014
115,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2874,JIWA,2014
116,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2581,JIWA,2014
117,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,18,JIWA,2014
118,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,10,JIWA,2014
119,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,22789,JIWA,2014
120,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,23890,JIWA,2014
121,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,26,JIWA,2014
122,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,29,JIWA,2014
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6932,JIWA,2014
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6495,JIWA,2014
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,LAKI-LAKI,60,JIWA,2014
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,PEREMPUAN,33,JIWA,2014
127,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,63709,JIWA,2015
128,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,63993,JIWA,2015
129,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,142,JIWA,2015
130,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,100,JIWA,2015
131,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,LAKI-LAKI,24497,JIWA,2015
132,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,PEREMPUAN,24983,JIWA,2015
133,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,LAKI-LAKI,243,JIWA,2015
134,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,PEREMPUAN,25,JIWA,2015
135,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,LAKI-LAKI,34373,JIWA,2015
136,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,PEREMPUAN,34561,JIWA,2015
137,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,LAKI-LAKI,94,JIWA,2015
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,PEREMPUAN,79,JIWA,2015
139,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,LAKI-LAKI,26330,JIWA,2015
140,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,PEREMPUAN,26518,JIWA,2015
141,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,LAKI-LAKI,94,JIWA,2015
142,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,PEREMPUAN,63,JIWA,2015
143,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,16281,JIWA,2015
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,16639,JIWA,2015
145,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,179,JIWA,2015
146,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,107,JIWA,2015
147,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,LAKI-LAKI,9880,JIWA,2015
148,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,PEREMPUAN,10048,JIWA,2015
149,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,LAKI-LAKI,84,JIWA,2015
150,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,PEREMPUAN,68,JIWA,2015
151,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10964,JIWA,2015
152,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,11054,JIWA,2015
153,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,45,JIWA,2015
154,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,36,JIWA,2015
155,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,LAKI-LAKI,11180,JIWA,2015
156,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,PEREMPUAN,11360,JIWA,2015
157,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,LAKI-LAKI,90,JIWA,2015
158,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,PEREMPUAN,40,JIWA,2015
159,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,LAKI-LAKI,10648,JIWA,2015
160,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,HIDUP,PEREMPUAN,10796,JIWA,2015
161,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,LAKI-LAKI,74,JIWA,2015
162,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MATI,PEREMPUAN,45,JIWA,2015
163,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,LAKI-LAKI,18388,JIWA,2015
164,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,HIDUP,PEREMPUAN,18692,JIWA,2015
165,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,LAKI-LAKI,152,JIWA,2015
166,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MATI,PEREMPUAN,90,JIWA,2015
167,32,JAWA BARAT,3213,KABUPATEN SUBANG,HIDUP,LAKI-LAKI,15527,JIWA,2015
168,32,JAWA BARAT,3213,KABUPATEN SUBANG,HIDUP,PEREMPUAN,15673,JIWA,2015
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,MATI,LAKI-LAKI,73,JIWA,2015
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,MATI,PEREMPUAN,72,JIWA,2015
171,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,LAKI-LAKI,10122,JIWA,2015
172,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,HIDUP,PEREMPUAN,10252,JIWA,2015
173,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,LAKI-LAKI,65,JIWA,2015
174,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATI,PEREMPUAN,35,JIWA,2015
175,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIDUP,LAKI-LAKI,26621,JIWA,2015
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,HIDUP,PEREMPUAN,27828,JIWA,2015
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATI,LAKI-LAKI,74,JIWA,2015
178,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATI,PEREMPUAN,88,JIWA,2015
179,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIDUP,LAKI-LAKI,48347,JIWA,2015
180,32,JAWA BARAT,3216,KABUPATEN BEKASI,HIDUP,PEREMPUAN,48445,JIWA,2015
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATI,LAKI-LAKI,49,JIWA,2015
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATI,PEREMPUAN,45,JIWA,2015
183,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,LAKI-LAKI,14760,JIWA,2015
184,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,HIDUP,PEREMPUAN,14926,JIWA,2015
185,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,LAKI-LAKI,83,JIWA,2015
186,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATI,PEREMPUAN,64,JIWA,2015
187,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,LAKI-LAKI,3060,JIWA,2015
188,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HIDUP,PEREMPUAN,3134,JIWA,2015
189,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,LAKI-LAKI,37,JIWA,2015
190,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATI,PEREMPUAN,35,JIWA,2015
191,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,LAKI-LAKI,9461,JIWA,2015
192,32,JAWA BARAT,3271,KOTA BOGOR,HIDUP,PEREMPUAN,9551,JIWA,2015
193,32,JAWA BARAT,3271,KOTA BOGOR,MATI,LAKI-LAKI,45,JIWA,2015
194,32,JAWA BARAT,3271,KOTA BOGOR,MATI,PEREMPUAN,12,JIWA,2015
195,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,LAKI-LAKI,3197,JIWA,2015
196,32,JAWA BARAT,3272,KOTA SUKABUMI,HIDUP,PEREMPUAN,3219,JIWA,2015
197,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,LAKI-LAKI,11,JIWA,2015
198,32,JAWA BARAT,3272,KOTA SUKABUMI,MATI,PEREMPUAN,13,JIWA,2015
199,32,JAWA BARAT,3273,KOTA BANDUNG,HIDUP,LAKI-LAKI,23431,JIWA,2015
200,32,JAWA BARAT,3273,KOTA BANDUNG,HIDUP,PEREMPUAN,23599,JIWA,2015
201,32,JAWA BARAT,3273,KOTA BANDUNG,MATI,LAKI-LAKI,84,JIWA,2015
202,32,JAWA BARAT,3273,KOTA BANDUNG,MATI,PEREMPUAN,12,JIWA,2015
203,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,LAKI-LAKI,2802,JIWA,2015
204,32,JAWA BARAT,3274,KOTA CIREBON,HIDUP,PEREMPUAN,2834,JIWA,2015
205,32,JAWA BARAT,3274,KOTA CIREBON,MATI,LAKI-LAKI,16,JIWA,2015
206,32,JAWA BARAT,3274,KOTA CIREBON,MATI,PEREMPUAN,6,JIWA,2015
207,32,JAWA BARAT,3275,KOTA BEKASI,HIDUP,LAKI-LAKI,29003,JIWA,2015
208,32,JAWA BARAT,3275,KOTA BEKASI,HIDUP,PEREMPUAN,29111,JIWA,2015
209,32,JAWA BARAT,3275,KOTA BEKASI,MATI,LAKI-LAKI,54,JIWA,2015
210,32,JAWA BARAT,3275,KOTA BEKASI,MATI,PEREMPUAN,28,JIWA,2015
211,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,LAKI-LAKI,19742,JIWA,2015
212,32,JAWA BARAT,3276,KOTA DEPOK,HIDUP,PEREMPUAN,20444,JIWA,2015
213,32,JAWA BARAT,3276,KOTA DEPOK,MATI,LAKI-LAKI,25,JIWA,2015
214,32,JAWA BARAT,3276,KOTA DEPOK,MATI,PEREMPUAN,10,JIWA,2015
215,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,LAKI-LAKI,5207,JIWA,2015
216,32,JAWA BARAT,3277,KOTA CIMAHI,HIDUP,PEREMPUAN,5313,JIWA,2015
217,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,LAKI-LAKI,53,JIWA,2015
218,32,JAWA BARAT,3277,KOTA CIMAHI,MATI,PEREMPUAN,26,JIWA,2015
219,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,LAKI-LAKI,6215,JIWA,2015
220,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HIDUP,PEREMPUAN,6299,JIWA,2015
221,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,LAKI-LAKI,42,JIWA,2015
222,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATI,PEREMPUAN,39,JIWA,2015
223,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,LAKI-LAKI,61375,JIWA,2016
224,32,JAWA BARAT,3201,KABUPATEN BOGOR,HIDUP,PEREMPUAN,63405,JIWA,2016
225,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,LAKI-LAKI,95,JIWA,2016
226,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATI,PEREMPUAN,113,JIWA,2016
227,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,LAKI-LAKI,24045,JIWA,2016
228,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,HIDUP,PEREMPUAN,22611,JIWA,2016
229,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,LAKI-LAKI,36,JIWA,2016
230,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MATI,PEREMPUAN,25,JIWA,2016
231,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,LAKI-LAKI,32245,JIWA,2016
232,32,JAWA BARAT,3204,KABUPATEN BANDUNG,HIDUP,PEREMPUAN,30521,JIWA,2016
233,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,LAKI-LAKI,45,JIWA,2016
234,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATI,PEREMPUAN,33,JIWA,2016
235,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,LAKI-LAKI,28656,JIWA,2016
236,32,JAWA BARAT,3205,KABUPATEN GARUT,HIDUP,PEREMPUAN,27521,JIWA,2016
237,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,LAKI-LAKI,103,JIWA,2016
238,32,JAWA BARAT,3205,KABUPATEN GARUT,MATI,PEREMPUAN,126,JIWA,2016
239,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,LAKI-LAKI,15507,JIWA,2016
240,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,HIDUP,PEREMPUAN,15479,JIWA,2016
241,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,LAKI-LAKI,109,JIWA,2016
242,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MATI,PEREMPUAN,104,JIWA,2016
243,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,LAKI-LAKI,9648,JIWA,2016
244,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HIDUP,PEREMPUAN,8782,JIWA,2016
245,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,LAKI-LAKI,92,JIWA,2016
246,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATI,PEREMPUAN,63,JIWA,2016
247,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,LAKI-LAKI,10319,JIWA,2016
248,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HIDUP,PEREMPUAN,9574,JIWA,2016
249,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,LAKI-LAKI,52,JIWA,2016
250,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MATI,PEREMPUAN,33,JIWA,2016
251,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,LAKI-LAKI,10857,JIWA,2016
252,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HIDUP,PEREMPUAN,10006,JIWA,2016
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MATI,LAKI-LAKI,33,JIWA,2016
